,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
92,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,24999,104319,Smyrna, GA,White,Brown,0,2,Fleet,01:42:54,"2021,11,12"
93,Ford Super Duty F-250,Ford,2019,XL 2WD Reg Cab 8' Box,25997,79091,San Antonio, TX,White,Unknown,0,2,Personal,01:42:54,"2021,11,12"
94,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,32539,61682,Manning, SC,Gray,Gray,0,1,Personal,01:42:54,"2021,11,12"
95,Ford Super Duty F-350,Ford,2019,XL 4WD Crew Cab 6.75' Box SRW,39500,93810,Abilene, TX,White,Gray,1,1,Personal,01:42:54,"2021,11,12"
96,Nissan Versa,Nissan,2019,SV Sedan CVT,13410,54056,Orlando, FL,Red,Black,0,1,Fleet,01:42:56,"2021,11,12"
97,Nissan Sentra,Nissan,2018,SV CVT,10995,108158,San Diego, CA,Silver,Black,0,1,Fleet,01:42:56,"2021,11,12"
98,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,31100,79758,Front Royal, VA,White,Gray,0,1,Personal,01:42:56,"2021,11,12"
99,Ford Expedition,Ford,2017,XLT RWD,27595,47078,Harlingen, TX,Black,Black,1,1,Personal,01:42:56,"2021,11,12"
100,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,30195,79921,Little Rock, AR,Silver,Beige,0,2,Personal,01:42:56,"2021,11,12"
101,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,40577,36899,Virginia Beach, VA,Black,Black,0,1,Personal,01:42:56,"2021,11,12"
102,Honda Civic,Honda,2015,LX Sedan CVT,9986,134571,Sacramento, CA,Red,Beige,0,2,Personal,01:42:56,"2021,11,12"
103,Toyota Tacoma,Toyota,2017,TRD Sport Double Cab 5' Bed V6 4WD Manual,34428,33115,Roseville, CA,Black,Gray,0,2,Personal,01:42:56,"2021,11,12"
104,Chevrolet Equinox,Chevrolet,2019,LT with 1LT FWD,17983,54968,Clarksville, TN,White,Black,0,1,Personal,01:42:56,"2021,11,12"
105,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,31500,52338,Norwalk, OH,Black,Black,0,2,Personal,01:42:56,"2021,11,12"
106,Nissan Altima,Nissan,2016,2.5 S,12995,78544,Fresno, CA,Blue,Black,1,2,Fleet,01:42:56,"2021,11,12"
107,Nissan Rogue,Nissan,2018,SL AWD,15999,120921,Jacksonville, FL,White,Black,0,1,Personal,01:42:56,"2021,11,12"
108,Chevrolet Silverado 1500,Chevrolet,2015,LT with 1LT Double Cab Standard Box 2WD,19993,137937,Beaumont, TX,White,Black,0,1,Personal,01:42:56,"2021,11,12"
109,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,29998,58688,Santa Fe, NM,White,Gray,0,1,Fleet,01:42:56,"2021,11,12"
110,Mercedes-Benz C-Class,Mercedes-Benz,2017,C 300 Sedan RWD,24200,35610,Fort Lauderdale, FL,White,Beige,1,2,Personal,01:42:56,"2021,11,12"
111,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 4WD,33948,90810,Frisco, TX,Gray,Black,1,1,Personal,01:42:56,"2021,11,12"
112,Nissan Altima,Nissan,2019,SL FWD,18383,54275,Statesboro, GA,Black,Black,0,2,Fleet,01:42:56,"2021,11,12"
113,Toyota Mirai,Toyota,2018,Sedan,14995,35547,San Jose, CA,White,Unknown,0,1,Personal,01:42:56,"2021,11,12"
114,Ford Fiesta,Ford,2019,SE Sedan,15175,33816,Lubbock, TX,White,Black,1,2,Fleet,01:42:56,"2021,11,12"
115,Buick Encore,Buick,2019,Preferred FWD,15500,56973,Houston, TX,Silver,Gray,1,3,Fleet,01:42:56,"2021,11,12"
116,Ford F-150,Ford,2019,XL SuperCrew 5.5' Box 4WD,34000,51296,Morrison, TN,White,Gray,0,1,Personal,01:42:56,"2021,11,12"
117,Ford F-150,Ford,2017,XLT SuperCrew 5.5' Box 4WD,26990,113243,Grand Rapids, MI,White,Unknown,0,Personal,Personal,01:42:56,"2021,11,12"
118,Ford Super Duty F-250,Ford,2019,XLT 4WD Crew Cab 6.75' Box,46998,1883,Ukiah, CA,Black,Unknown,1,1,Fleet,01:42:56,"2021,11,12"
119,Toyota Corolla,Toyota,2020,LE CVT,17300,43046,Houston, TX,White,Black,0,1,Personal,01:42:56,"2021,11,12"
120,Ford F-150,Ford,2018,XLT SuperCab 6.5' Box 4WD,19800,174183,Deland, FL,White,Gray,0,2,Fleet,01:42:56,"2021,11,12"
121,Toyota Camry,Toyota,2018,XLE I4 Automatic,19500,35816,Staunton, VA,White,Beige,0,2,Personal,01:42:56,"2021,11,12"
122,Ford F-150,Ford,2020,Lariat SuperCab 6.5' Box 4WD,40000,19849,Post Falls, ID,Black,Black,1,1,Personal,01:42:56,"2021,11,12"
123,Ford Fusion,Ford,2017,SE FWD,13177,108861,Georgetown, TX,White,Unknown,1,3,Fleet,01:42:56,"2021,11,12"
124,Ford F-150,Ford,2014,XLT Regular Cab 8.0' Box RWD,15751,110056,Ocala, FL,White,Gray,0,2,Personal,01:42:56,"2021,11,12"
125,Nissan Sentra,Nissan,2019,S CVT,16500,32968,COSTA MESA, CA,Gray,Black,0,1,Personal,01:42:56,"2021,11,12"
